Date,Open,High,Low,Close,Volume,Market Cap
22-10-2018,6486.05,6543.8,6462.98,6487.16,3672860000,1.12E+11
21-10-2018,6490.09,6556.38,6476,6482.35,3253610000,1.12E+11
20-10-2018,6460.92,6497.72,6449,6489.19,3379130000,1.12E+11
19-10-2018,6478.07,6493.68,6445.31,6465.41,3578870000,1.12E+11
18-10-2018,6542.33,6567.54,6450.04,6476.71,3924080000,1.13E+11
17-10-2018,6590.52,6601.21,6517.45,6544.43,4088420000,1.14E+11
16-10-2018,6601.41,6673.59,6571.37,6596.11,4074800000,1.14E+11
15-10-2018,6292.64,6965.06,6258.68,6596.54,7370770000,1.09E+11
